Feature,P-Value,Bonferroni Corrected P-Value
GO:0004077,1.0,1.0
GO:0004084,1.0,1.0
GO:0004087,1.0,1.0
GO:0004088,1.0,1.0
GO:0004089,1.0,1.0
GO:0004096,1.0,1.0
GO:0004106,1.0,1.0
GO:0004107,1.0,1.0
GO:0004108,1.0,1.0
GO:0004109,1.0,1.0
GO:0004112,1.0,1.0
GO:0004113,1.0,1.0
GO:0004115,1.0,1.0
GO:0004123,1.0,1.0
GO:0004124,1.0,1.0
GO:0004125,1.0,1.0
GO:0004126,1.0,1.0
GO:0004127,1.0,1.0
GO:0004129,1.0,1.0
GO:0004130,1.0,1.0
GO:0004131,1.0,1.0
GO:0004133,1.0,1.0
GO:0004134,1.0,1.0
GO:0004135,1.0,1.0
GO:0004139,1.0,1.0
GO:0004140,1.0,1.0
GO:0004141,1.0,1.0
GO:0004143,1.0,1.0
GO:0004145,1.0,1.0
GO:0004146,1.0,1.0
GO:0004148,1.0,1.0
GO:0004149,1.0,1.0
GO:0004150,1.0,1.0
GO:0004151,1.0,1.0
GO:0004152,1.0,1.0
GO:0004155,1.0,1.0
GO:0004156,1.0,1.0
GO:0004159,1.0,1.0
GO:0004160,1.0,1.0
GO:0004161,1.0,1.0
GO:0004165,1.0,1.0
GO:0004170,1.0,1.0
GO:0004175,1.0,1.0
GO:0004176,1.0,1.0
GO:0004177,1.0,1.0
GO:0004180,0.3571428571428571,1.0
GO:0004181,1.0,1.0
GO:0004185,1.0,1.0
GO:0004190,1.0,1.0
GO:0004222,0.3571428571428571,1.0
GO:0004239,1.0,1.0
GO:0004252,1.0,1.0
GO:0004298,1.0,1.0
GO:0004300,1.0,1.0
GO:0004309,1.0,1.0
GO:0004314,1.0,1.0
GO:0004315,1.0,1.0
GO:0004316,1.0,1.0
GO:0004317,1.0,1.0
GO:0004318,1.0,1.0
GO:0004322,1.0,1.0
GO:0004324,1.0,1.0
GO:0004325,1.0,1.0
GO:0004326,1.0,1.0
GO:0004332,1.0,1.0
GO:0004333,1.0,1.0
GO:0004335,1.0,1.0
GO:0004337,1.0,1.0
GO:0004340,1.0,1.0
GO:0004342,1.0,1.0
GO:0004345,1.0,1.0
GO:0004346,1.0,1.0
GO:0004347,0.3571428571428571,1.0
GO:0004349,1.0,1.0
GO:0004350,1.0,1.0
GO:0004351,1.0,1.0
GO:0004353,0.3571428571428571,1.0
GO:0004354,0.3571428571428571,1.0
GO:0004355,1.0,1.0
GO:0004356,1.0,1.0
GO:0004357,1.0,1.0
GO:0004358,1.0,1.0
GO:0004359,1.0,1.0
GO:0004360,1.0,1.0
GO:0004362,1.0,1.0
GO:0004363,1.0,1.0
GO:0004364,1.0,1.0
GO:0004365,1.0,1.0
GO:0004366,1.0,1.0
GO:0004368,1.0,1.0
GO:0004370,1.0,1.0
GO:0004371,1.0,1.0
GO:0004372,1.0,1.0
GO:0004373,1.0,1.0
GO:0004375,1.0,1.0
GO:0004385,1.0,1.0
GO:0004386,1.0,1.0
GO:0004396,1.0,1.0
GO:0004399,1.0,1.0
GO:0004400,1.0,1.0
GO:0004401,1.0,1.0
GO:0004412,1.0,1.0
GO:0004413,1.0,1.0
GO:0004414,1.0,1.0
GO:0004416,1.0,1.0
GO:0004417,1.0,1.0
GO:0004418,1.0,1.0
GO:0004422,1.0,1.0
GO:0004424,1.0,1.0
GO:0004425,1.0,1.0
GO:0004427,1.0,1.0
GO:0004450,1.0,1.0
GO:0004451,1.0,1.0
GO:0004452,1.0,1.0
GO:0004455,1.0,1.0
GO:0004456,1.0,1.0
GO:0004457,1.0,1.0
GO:0004458,1.0,1.0
GO:0004459,1.0,1.0
GO:0004462,1.0,1.0
GO:0004466,1.0,1.0
GO:0004467,1.0,1.0
GO:0004470,1.0,1.0
GO:0004471,1.0,1.0
GO:0004473,1.0,1.0
GO:0004474,1.0,1.0
GO:0004475,1.0,1.0
GO:0004476,1.0,1.0
GO:0004477,1.0,1.0
GO:0004478,1.0,1.0
